news_id,manchete_emocao,manchete_polaridade,f1_emocao,f1_polaridade,f2_emocao,f2_polaridade,f3_emocao,f3_polaridade,geral_emocao,geral_polaridade,pensamento,manchete,f1,f2,f3
3,alegria,positivo,neutro,neutro,alegria,positivo,alegria,positivo,alegria,positivo,"A manchete expressa alegria e positividade ao destacar o crescimento e a força das gerações mais velhas no Brasil. O f1 é neutro, pois apresenta uma informação factual sobre a mudança na estrutura etária sem expressar opinião. O f2 reflete alegria e positividade ao descrever os benefícios econômicos e sociais do envelhecimento da população. O f3 continua com alegria e positividade, ao prever que o Brasil poderá aproveitar esses bônus demográficos para fortalecer o desenvolvimento socioeconômico e o bem-estar da sociedade.",A crescente força das gerações prateadas no Brasil,"O Brasil está passando por uma rápida mudança na sua estrutura etária, com a população de 50 anos ou mais crescendo exponencialmente e se tornando maioria até o final do século XXI.","Essa transformação demográfica impulsionará a economia prateada, que envolve a participação ativa de pessoas maduras no mercado de trabalho, inovação e consumo, além de promover maior intergeracionalidade e envelhecimento saudável.","Como consequência, o país poderá aproveitar novos bônus demográficos, fortalecendo o desenvolvimento socioeconômico e o bem-estar de toda a sociedade."
11,alegria,positivo,neutro,neutro,neutro,neutro,alegria,positivo,alegria,positivo,"A manchete indica uma etapa de progresso na reforma tributária, sugerindo alegria e polaridade positiva. A f1 explica a designação do relator e menciona a criação do Comitê Gestor do IBS, reforçando a ideia de avanço e organização, o que é positivo e neutro em termos de emoção. A f2 detalha o projeto, incluindo a unificação de tributos e a gestão compartilhada, transmitindo informações factuais e rotineiras, resultando em uma emoção neutra e polaridade neutra. A f3 menciona a expectativa de aprovação, sugerindo otimismo e confiança no processo legislativo, o que reflete alegria e polaridade positiva. No geral, a notícia transmite um sentimento de alegria e otimismo sobre o progresso da reforma tributária.",Eduardo Braga é designado relator da segunda parte da reforma tributária no Senado,"O senador Eduardo Braga foi indicado como relator do Projeto de Lei Complementar (PLP) 108/2024, que regulamenta a segunda fase da reforma tributária, incluindo a criação do Comitê Gestor do Imposto sobre Bens e Serviços (IBS).","A proposta unifica cinco tributos (ICMS, ISS, IPI, PIS e Cofins) em uma cobrança única, com gestão compartilhada entre União, Estados e Municípios, além de estabelecer regras para o ITCMD e o processo administrativo do novo sistema.","A expectativa do governo é aprovar o PLP ainda neste semestre, após a análise no Senado e possível retorno à Câmara para eventuais alterações."
32,alegria,positivo,alegria,positivo,medo,negativo,medo,negativo,medo,negativo,"A manchete gera alegria e polaridade positiva por destacar a liberação de recursos para um programa social. O f1 reforça a alegria e a polaridade positiva ao detalhar a liberação de recursos e estabelecer um prazo para ajustes, o que sugere um caminho viável para a continuidade do programa. O f2 introduz medo e polaridade negativa, pois menciona a ilegalidade do financiamento e a necessidade de cortes em outras áreas, criando incerteza sobre o orçamento. O f3, embora mencione a importância do programa, carrega uma emoção de medo e polaridade negativa devido à necessidade de ajustes imediatos nas contas públicas, o que indica uma situação financeira delicada.",TCU libera R$ 6 bilhões para Pé-de-Meia e dá prazo de 120 dias para governo ajustar orçamento,"O Tribunal de Contas da União (TCU) autorizou a liberação de R$ 6 bilhões do programa Pé-de-Meia, após uma decisão que bloqueava o repasse, e estabeleceu um prazo de 120 dias para que o governo ajuste os gastos no Orçamento de 2025.","A decisão ocorreu após o TCU considerar ilegal o financiamento do programa por fundos fora do teto fiscal e determinar que os R$ 13 bilhões previstos sejam incluídos no orçamento, o que exigirá cortes em outras áreas.","Parlamentares e técnicos do tribunal reforçam a necessidade de ajustes imediatos nas contas públicas, enquanto o programa, que beneficia cerca de 4 milhões de estudantes de baixa renda, continua sendo considerado uma ferramenta importante para a política social do governo Lula."
37,medo,negativo,medo,negativo,medo,neutro,medo,negativo,medo,negativo,"A manchete indica medo com polaridade negativa devido à inflação 'desconfortável' e fora da meta, o que gera incerteza e preocupação com o futuro econômico. O f1 reforça o medo com polaridade negativa, destacando a inflação desconfortável devido ao aperto monetário. O f2 possui polaridade neutra, com emoção de medo, pois há uma incerteza e cautela na análise dos dados econômicos, sugerindo que a situação requer atenção, mas sem uma clara indicação de resultado negativo ou positivo. O f3 traz uma emoção de medo com polaridade negativa, já que a necessidade de uma postura mais agressiva na elevação dos juros e parcimônia na redução sinaliza um cenário de incerteza e risco econômico. O rótulo geral reflete a emoção dominante de medo com uma polaridade negativa, devido à preocupação geral com a inflação e as políticas monetárias cautelosas.","Inflação deve seguir 'desconfortável' para as famílias e fora da meta, diz presidente do BC","O presidente do Banco Central, Gabriel Galípolo, afirmou que a inflação deve permanecer ""desconfortável"" para famílias e empresas no curto prazo, devido ao atual ciclo de aperto monetário, sem detalhes sobre os próximos passos nos juros.","Ele destacou a necessidade de cautela na análise dos dados econômicos, considerando a volatilidade de indicadores de alta frequência, e reforçou que a política monetária deve agir gradualmente.","Galípolo também ressaltou que, embora seja necessário adotar uma postura mais agressiva na elevação dos juros, a redução da taxa básica deve ser feita com maior parcimônia para evitar decisões precipitadas."
84,neutro,neutro,alegria,positivo,alegria,positivo,medo,negativo,neutro,neutro,"A manchete sugere uma perspectiva inicialmente positiva sobre o crescimento da indústria brasileira, mas adverte sobre os desafios futuros com a alta dos juros. A f1 destaca uma expansão significativa e positiva no setor industrial, impulsionada por setores de alta tecnologia, o que sugere alegria. A f2 reforça essa alegria ao comparar o crescimento brasileiro com o global e citar políticas favoráveis. A f3, no entanto, introduz um sentimento de medo ao mencionar desafios futuros devido ao aumento da taxa Selic e incertezas internacionais.","Indústria brasileira cresce duas vezes mais que a global, mas setor vê freio com alta dos juros","A indústria de transformação brasileira conseguiu reverter uma queda de -1,0% no 3º trimestre de 2023 para uma expansão de 4,6% no mesmo período de 2024, impulsionada pelos setores de alta e média-alta tecnologia.","Enquanto a produção global apresentou crescimento mais modesto e enfrentou obstáculos nas economias desenvolvidas, o setor industrial brasileiro se beneficiou de políticas de estímulo, redução de juros e investimentos em inovação.","Apesar do cenário favorável, especialistas alertam para desafios futuros devido ao aumento da taxa Selic e às incertezas internacionais, que podem afetar a competitividade da indústria nacional."
103,tristeza,negativo,neutro,neutro,neutro,neutro,neutro,neutro,tristeza,negativo,"A manchete expressa uma notícia negativa ao destacar o déficit nas contas externas do Brasil, o maior desde 2019, sugerindo tristeza e polaridade negativa. No f1, a notícia é apresentada de forma factual, sem especulação ou opinião, indicando uma emoção neutra e polaridade neutra. O f2 apresenta uma notícia que, apesar de mencionar um déficit, inclui um recorde de gastos por turistas estrangeiros, sugerindo um aspecto positivo que contrasta com a tristeza geral da notícia, mas como um dado factual, é classificado como neutro e polaridade neutra. O f3 destaca o aspecto positivo do aumento do turismo internacional, mas dentro de um contexto de câmbio desfavorável, o que não muda a polaridade geral da notícia. Assim, a emoção é neutra e a polaridade é neutra para f3. No geral, a notícia é dominada pela tristeza devido ao déficit significativo, com polaridade negativa.","Brasil registra déficit de US$ 56 bilhões nas contas externas em 2024, o maior desde 2019","As transações correntes do Brasil acumularam um déficit de US$ 56 bilhões em 2024, o maior desde 2019, representando 2,55% do PIB, conforme divulgado pelo Banco Central.","Apesar da alta do dólar, os brasileiros gastaram US$ 14,82 bilhões em viagens ao exterior, valor inferior ao registrado antes da pandemia, enquanto os gastos de turistas estrangeiros atingiram US$ 7,34 bilhões, um recorde histórico.","O aumento no turismo internacional, impulsionado pela valorização do dólar, reforça a relevância do setor para a economia brasileira em um cenário de câmbio desfavorável para os residentes."
107,alegria,positivo,alegria,positivo,alegria,positivo,alegria,positivo,alegria,positivo,"A manchete expressa determinação e otimismo do ministro Haddad em resolver a situação, o que sugere alegria. f1 apresenta uma informação positiva sobre o esforço do governo para resolver o bloqueio dos recursos, indicando uma perspectiva de superação e confiança, características da alegria. f2 reforça essa perspectiva ao mencionar a entrada de recurso e a pacificação do impasse, sugerindo uma resolução positiva e portanto alegria. f3 detalha as medidas tomadas pelo governo e como elas permitem a continuidade do programa, reafirmando a superação das dificuldades e a confiança no sucesso das ações, mantendo a emoção de alegria. A análise geral da notícia também revela uma perspectiva otimista e de confiança.","'Vamos encontrar uma saída', diz Haddad após suspensão de recursos do Pé-de-Meia","O ministro da Fazenda, Fernando Haddad, garantiu que o governo buscará uma solução para liberar R$ 6 bilhões bloqueados pelo TCU no programa social Pé-de-Meia, evitando sua descontinuidade.","A Advocacia-Geral da União entrou com recurso contra a decisão do tribunal, e a questão está sendo negociada, com Haddad afirmando que o impasse está ""pacificado"".","O programa, uma das principais ações sociais do governo Lula, enfrenta risco de paralisação devido à disputa sobre a inclusão dos fundos no Orçamento da União, mas o governo afirma que as medidas de contenção de gastos facilitaram a orçamentação sem prejudicar a continuidade do programa."
128,neutro,neutro,neutro,neutro,neutro,neutro,neutro,neutro,neutro,neutro,"A manchete é neutra, pois transmite uma informação factual e esperada sobre a sancionamento da reforma tributária. O f1 é neutro, pois detalha a ação do presidente Lula com informações factuais. O f2 é neutro, pois continua a informação sobre os vetos e suas implicações, sem expressar emoção. O f3 é neutro, pois explica tecnicamente as mudanças e benefícios da nova legislação sem expressar uma emoção clara. No geral, a notícia é neutra, pois é uma transmissão de informações factuais sobre uma mudança legislativa importante.",Lula sanciona com vetos regulamentação da reforma tributária; veja os pontos alterados,"O presidente Lula sancionou a Lei Complementar 214, que regulamenta a reforma tributária, com vetos pontuais relacionados a questões técnicas e setores específicos, como energia e petróleo.","Os vetos, que serão analisados pelo Congresso, mantêm benefícios fiscais e vantagens para o polo industrial da Zona Franca de Manaus, além de excluir alguns dispositivos sobre impostos e regimes financeiros.","A nova legislação unifica cinco tributos em um sistema de Imposto de Valor Agregado (IVA), incluindo o IBS e a CBS, e estabelece mecanismos como cashback e split payment para facilitar a arrecadação e o pagamento de tributos."
133,raiva,negativo,medo,negativo,alegria,positivo,raiva,negativo,raiva,negativo,"A manchete expressa uma ação governamental contra a disseminação de fake news, indicando uma tentativa de proteger a integridade do Pix. A F1 apresenta uma situação de pânico e prejuízos econômicos causados por fake news, o que gera medo e incerteza. A F2 contém informações sobre medidas governamentais para proteger o Pix, incluindo a revogação de uma norma e a edição de uma medida provisória, o que pode ser visto como uma reação positiva e de além da expectativa. A F3 reforça a possível responsabilização criminal para os disseminadores de fake news, transmitindo uma postura de raiva e desaprovação.",AGU pede à Polícia Federal que investigue a disseminação de fake news sobre Pix,"A Advocacia-Geral da União solicitou à Polícia Federal a abertura de inquérito para investigar a disseminação de fake news relacionadas ao uso do Pix e às novas regras de monitoramento, citando golpes e informações falsas que geraram pânico e prejuízos econômicos.","Em resposta às fake news, o governo revogou uma norma da Receita Federal que aumentava o monitoramento das transações financeiras, e anunciou a edição de uma medida provisória para garantir a gratuidade e o sigilo do Pix, além de proibir cobranças abusivas.","Autoridades destacaram que os responsáveis por disseminar informações falsas poderão responder por crimes, enquanto buscam esclarecer os fatos e proteger a integridade do sistema de pagamentos eletrônicos."
140,alegria,positivo,alegria,positivo,neutro,neutro,alegria,positivo,alegria,positivo,"A manchete apresenta uma perspectiva positiva sobre a receita do governo federal, indicando crescimento e redução do déficit, o que sugere uma emoção de alegria e polaridade positiva. O primeiro fragmento (f1) reitera essa perspectiva positiva ao detalhar o crescimento da receita e a redução do déficit, mantendo a emoção de alegria e a polaridade positiva. O segundo fragmento (f2) fornece uma explicação neutra sobre os fatores que impulsionaram o aumento das receitas e das despesas, apresentando dados factuais sem carga emocional, o que indica uma emoção neutra e polaridade neutra. O terceiro fragmento (f3) destaca a maior elevação nas receitas em relação às despesas, contribuindo para o reequilíbrio das contas públicas, o que sugere uma emoção de alegria e polaridade positiva. A emoção geral da notícia é de alegria, refletindo a visão positiva sobre a redução do déficit e o reequilíbrio das contas públicas.","Receita do governo federal acumula alta de 7,7% e ajuda a reduzir déficit","A receita líquida do governo federal cresceu 7,7% entre janeiro e novembro de 2024, atingindo R$ 139,8 bilhões, contribuindo para a redução do déficit de R$ 12 bilhões registrado em 2023.","O aumento nas receitas foi impulsionado principalmente pela alta na arrecadação da Cofins e outros tributos, enquanto as despesas cresceram 4,4%, totalizando R$ 89,6 bilhões, com destaque para os pagamentos de benefícios previdenciários.","Apesar do crescimento das despesas, a maior elevação nas receitas ajudou a diminuir o déficit, refletindo um esforço de reequilíbrio das contas públicas."
